EmployeeNumber,Department,MonthlyIncome,JobSatisfaction,OverTime,attrition_risk_level
829,Human Resources,2143,2,No,LOW RISK
830,Research & Development,6162,3,No,MEDIUM RISK
832,Research & Development,5094,3,No,MEDIUM RISK
833,Research & Development,6877,4,Yes,LOW RISK
834,Research & Development,2274,3,No,MEDIUM RISK
836,Research & Development,4434,2,No,MEDIUM RISK
837,Research & Development,6288,1,No,LOW RISK
838,Research & Development,2553,4,No,LOW RISK
840,Sales,7654,4,No,LOW RISK
842,Sales,5160,4,No,LOW RISK
843,Research & Development,17159,1,No,LOW RISK
844,Research & Development,12808,4,Yes,LOW RISK
845,Research & Development,10221,3,No,MEDIUM RISK
846,Sales,4779,2,Yes,HIGH RISK
847,Human Resources,3737,4,No,LOW RISK
848,Research & Development,2366,3,Yes,MEDIUM RISK
850,Research & Development,1706,4,No,LOW RISK
851,Sales,16307,3,No,MEDIUM RISK
852,Research & Development,5933,2,No,LOW RISK
854,Research & Development,3424,1,No,LOW RISK
855,Sales,4037,1,No,LOW RISK
856,Research & Development,2559,1,No,MEDIUM RISK
857,Sales,6201,4,Yes,LOW RISK
859,Sales,4403,4,No,LOW RISK
861,Research & Development,3761,4,No,LOW RISK
862,Sales,10934,4,Yes,LOW RISK
864,Sales,10761,1,Yes,LOW RISK
865,Research & Development,5175,3,No,MEDIUM RISK
867,Research & Development,13826,4,No,MEDIUM RISK
868,Sales,6334,3,No,MEDIUM RISK
869,Human Resources,4936,4,No,LOW RISK
872,Research & Development,4775,4,No,LOW RISK
874,Research & Development,2818,4,Yes,LOW RISK
875,Research & Development,2515,4,Yes,LOW RISK
878,Human Resources,2342,1,No,LOW RISK
879,Sales,4194,1,Yes,HIGH RISK
880,Research & Development,10685,3,Yes,MEDIUM RISK
881,Research & Development,2022,2,Yes,HIGH RISK
882,Research & Development,2314,4,No,LOW RISK
885,Sales,4256,1,No,LOW RISK
887,Research & Development,3580,1,No,LOW RISK
888,Research & Development,3162,4,No,LOW RISK
889,Sales,6524,2,No,LOW RISK
893,Sales,2899,2,No,LOW RISK
894,Research & Development,5231,4,Yes,LOW RISK
895,Research & Development,2356,4,Yes,LOW RISK
896,Sales,2800,3,Yes,MEDIUM RISK
897,Sales,11836,4,No,LOW RISK
899,Research & Development,10903,2,No,MEDIUM RISK
900,Sales,2973,4,No,MEDIUM RISK
901,Research & Development,14275,4,No,MEDIUM RISK
902,Research & Development,5562,4,No,LOW RISK
903,Sales,4537,4,Yes,LOW RISK
904,Sales,7642,2,Yes,LOW RISK
905,Research & Development,17924,1,No,LOW RISK
909,Human Resources,5204,4,No,LOW RISK
910,Human Resources,2277,2,Yes,HIGH RISK
911,Research & Development,2795,4,Yes,MEDIUM RISK
912,Research & Development,2532,4,No,LOW RISK
913,Research & Development,2559,1,Yes,HIGH RISK
916,Sales,4908,4,No,LOW RISK
918,Research & Development,2380,4,Yes,LOW RISK
920,Research & Development,4765,2,No,LOW RISK
922,Sales,2044,3,No,MEDIUM RISK
923,Research & Development,2693,4,No,LOW RISK
924,Research & Development,6586,4,Yes,LOW RISK
925,Sales,3294,4,Yes,LOW RISK
926,Research & Development,4171,3,Yes,MEDIUM RISK
927,Research & Development,2778,4,Yes,LOW RISK
930,Research & Development,2377,3,No,MEDIUM RISK
932,Research & Development,2404,1,Yes,HIGH RISK
933,Research & Development,2318,3,No,MEDIUM RISK
934,Research & Development,2008,2,No,LOW RISK
936,Sales,6244,3,No,MEDIUM RISK
939,Research & Development,2799,1,Yes,HIGH RISK
940,Research & Development,10552,2,Yes,LOW RISK
941,Sales,2329,3,No,MEDIUM RISK
942,Research & Development,4014,4,Yes,MEDIUM RISK
944,Research & Development,7403,2,No,LOW RISK
945,Research & Development,2259,3,No,MEDIUM RISK
947,Sales,6932,3,No,MEDIUM RISK
949,Research & Development,4678,4,No,LOW RISK
950,Research & Development,13582,1,No,LOW RISK
951,Research & Development,2332,2,No,LOW RISK
952,Sales,2413,2,Yes,HIGH RISK
954,Sales,9705,2,No,LOW RISK
956,Sales,4294,1,No,LOW RISK
957,Research & Development,4721,1,Yes,HIGH RISK
958,Research & Development,2519,3,No,MEDIUM RISK
959,Sales,2121,2,Yes,HIGH RISK
960,Research & Development,2973,1,No,LOW RISK
961,Research & Development,5855,4,Yes,LOW RISK
964,Research & Development,3617,2,Yes,HIGH RISK
966,Research & Development,6725,1,No,LOW RISK
967,Sales,10325,4,Yes,LOW RISK
969,Research & Development,6949,4,No,LOW RISK
970,Sales,10609,3,No,MEDIUM RISK
972,Research & Development,4447,2,No,LOW RISK
974,Sales,2157,4,No,LOW RISK
975,Sales,4601,3,No,MEDIUM RISK
976,Research & Development,17099,4,No,LOW RISK
977,Research & Development,2479,3,No,MEDIUM RISK
981,Sales,14852,3,No,MEDIUM RISK
982,Sales,7264,3,No,MEDIUM RISK
983,Sales,5666,4,Yes,LOW RISK
984,Sales,7823,4,No,LOW RISK
985,Sales,7880,3,No,MEDIUM RISK
986,Sales,13194,2,Yes,MEDIUM RISK
987,Research & Development,5067,3,Yes,MEDIUM RISK
990,Sales,5079,4,No,LOW RISK
991,Research & Development,2321,1,Yes,HIGH RISK
992,Sales,17444,3,No,MEDIUM RISK
994,Research & Development,2404,1,Yes,HIGH RISK
995,Research & Development,3452,4,No,LOW RISK
996,Research & Development,2270,4,No,LOW RISK
997,Research & Development,17399,4,No,LOW RISK
998,Research & Development,5488,2,Yes,LOW RISK
999,Research & Development,19419,3,No,MEDIUM RISK
1001,Research & Development,2811,2,No,LOW RISK
1002,Research & Development,3633,1,Yes,HIGH RISK
1003,Sales,4163,4,Yes,LOW RISK
1004,Research & Development,2132,3,Yes,MEDIUM RISK
1005,Research & Development,13973,3,Yes,MEDIUM RISK
1006,Research & Development,2684,3,No,MEDIUM RISK
1007,Research & Development,10845,3,No,MEDIUM RISK
1009,Research & Development,4377,3,No,MEDIUM RISK
1010,Research & Development,3743,2,Yes,HIGH RISK
1011,Research & Development,4148,1,No,LOW RISK
1012,Research & Development,1051,4,No,LOW RISK
1013,Research & Development,10739,3,No,MEDIUM RISK
1014,Research & Development,10388,3,Yes,MEDIUM RISK
1015,Research & Development,11416,1,Yes,LOW RISK
1016,Research & Development,2600,1,Yes,HIGH RISK
1017,Research & Development,2422,2,No,LOW RISK
1018,Research & Development,5472,4,No,LOW RISK
1019,Research & Development,2451,1,No,LOW RISK
1022,Research & Development,4240,3,No,MEDIUM RISK
1024,Research & Development,10999,3,No,MEDIUM RISK
1025,Research & Development,5003,3,No,MEDIUM RISK
1026,Research & Development,12742,4,No,LOW RISK
1027,Research & Development,4227,4,No,LOW RISK
1028,Research & Development,3917,4,No,LOW RISK
1029,Sales,18303,3,No,MEDIUM RISK
1030,Research & Development,2380,4,No,LOW RISK
1032,Research & Development,13726,4,Yes,LOW RISK
1033,Research & Development,4777,2,No,LOW RISK
1034,Research & Development,6385,2,Yes,LOW RISK
1035,Research & Development,19973,3,No,MEDIUM RISK
1036,Sales,6861,4,Yes,LOW RISK
1037,Sales,4969,1,No,MEDIUM RISK
1038,Sales,19845,4,No,LOW RISK
1039,Sales,13320,4,Yes,MEDIUM RISK
1040,Sales,6347,3,No,MEDIUM RISK
1042,Research & Development,2743,1,No,LOW RISK
1043,Research & Development,10880,1,Yes,MEDIUM RISK
1044,Sales,2342,4,No,LOW RISK
1045,Sales,17650,4,No,LOW RISK
1046,Research & Development,4025,3,No,MEDIUM RISK
1047,Sales,9725,4,No,LOW RISK
1048,Sales,11904,4,Yes,LOW RISK
1049,Human Resources,2177,2,No,MEDIUM RISK
1050,Sales,7525,2,No,LOW RISK
1052,Research & Development,4834,3,No,MEDIUM RISK
1053,Research & Development,2042,1,Yes,HIGH RISK
1055,Sales,2220,3,Yes,MEDIUM RISK
1056,Sales,1052,2,No,LOW RISK
1060,Research & Development,2821,3,No,MEDIUM RISK
1061,Research & Development,19237,3,Yes,MEDIUM RISK
1062,Research & Development,4107,2,No,LOW RISK
1066,Sales,8396,1,No,MEDIUM RISK
1068,Research & Development,2007,3,No,MEDIUM RISK
1069,Research & Development,19627,4,No,LOW RISK
1070,Sales,10686,3,No,MEDIUM RISK
1071,Research & Development,2942,3,No,MEDIUM RISK
1073,Research & Development,8858,4,No,LOW RISK
1074,Research & Development,16756,1,No,LOW RISK
1076,Sales,10798,4,No,MEDIUM RISK
1077,Sales,2323,4,Yes,LOW RISK
1079,Research & Development,1416,1,No,LOW RISK
1080,Research & Development,4615,1,Yes,HIGH RISK
1081,Research & Development,2461,3,Yes,MEDIUM RISK
1082,Research & Development,8722,1,No,MEDIUM RISK
1083,Research & Development,3955,1,No,LOW RISK
1084,Research & Development,9957,1,No,LOW RISK
1085,Research & Development,3376,3,No,MEDIUM RISK
1088,Research & Development,8823,3,No,MEDIUM RISK
1092,Research & Development,10322,4,No,LOW RISK
1094,Research & Development,4621,3,No,MEDIUM RISK
1096,Research & Development,10976,2,No,LOW RISK
1097,Research & Development,3660,3,No,MEDIUM RISK
1098,Human Resources,10482,1,No,LOW RISK
1099,Research & Development,7119,4,No,LOW RISK
1100,Sales,9582,1,Yes,LOW RISK
1101,Research & Development,4508,3,No,MEDIUM RISK
1102,Research & Development,2207,3,No,MEDIUM RISK
1103,Research & Development,7756,4,No,LOW RISK
1105,Sales,6694,4,Yes,LOW RISK
1106,Research & Development,3691,4,Yes,LOW RISK
1107,Research & Development,2377,3,No,MEDIUM RISK
1108,Research & Development,2313,2,Yes,HIGH RISK
1109,Research & Development,17665,1,No,LOW RISK
1111,Research & Development,2596,2,No,LOW RISK
1113,Sales,4728,3,Yes,MEDIUM RISK
1114,Sales,4302,2,No,LOW RISK
1115,Research & Development,2979,4,No,LOW RISK
1116,Research & Development,16885,4,No,LOW RISK
1117,Sales,5593,3,No,MEDIUM RISK
1118,Research & Development,10445,2,No,LOW RISK
1119,Sales,8740,3,Yes,MEDIUM RISK
1120,Research & Development,2514,4,No,MEDIUM RISK
1121,Research & Development,7655,2,No,LOW RISK
1124,Sales,17465,3,No,MEDIUM RISK
1125,Sales,7351,2,No,LOW RISK
1126,Research & Development,10820,1,No,MEDIUM RISK
1127,Research & Development,12169,4,No,LOW RISK
1128,Research & Development,19626,3,No,MEDIUM RISK
1131,Research & Development,2070,2,Yes,HIGH RISK
1132,Research & Development,6782,2,No,LOW RISK
1133,Research & Development,7779,4,No,LOW RISK
1135,Sales,2791,4,No,LOW RISK
1136,Research & Development,3201,2,No,LOW RISK
1137,Sales,4968,4,No,LOW RISK
1138,Sales,13120,2,No,LOW RISK
1140,Research & Development,4033,3,No,MEDIUM RISK
1143,Research & Development,3291,2,No,LOW RISK
1148,Research & Development,4272,4,No,MEDIUM RISK
1150,Research & Development,5056,4,Yes,LOW RISK
1152,Human Resources,2844,3,No,MEDIUM RISK
1154,Research & Development,2703,3,Yes,MEDIUM RISK
1156,Research & Development,1904,3,No,MEDIUM RISK
1157,Sales,8224,1,Yes,LOW RISK
1158,Research & Development,4766,4,Yes,LOW RISK
1160,Research & Development,2610,3,No,MEDIUM RISK
1161,Research & Development,5731,4,No,MEDIUM RISK
1162,Research & Development,2539,3,No,MEDIUM RISK
1163,Sales,5714,3,No,MEDIUM RISK
1164,Human Resources,4323,3,No,MEDIUM RISK
1165,Sales,7336,1,No,MEDIUM RISK
1166,Research & Development,13499,3,No,MEDIUM RISK
1167,Sales,13758,1,Yes,LOW RISK
1171,Sales,5155,1,No,LOW RISK
1172,Research & Development,2258,3,No,MEDIUM RISK
1173,Research & Development,3597,2,No,MEDIUM RISK
1175,Research & Development,2515,4,Yes,LOW RISK
1177,Research & Development,4420,4,No,LOW RISK
1179,Sales,6578,3,No,MEDIUM RISK
1180,Research & Development,4422,4,Yes,MEDIUM RISK
1182,Research & Development,10274,2,No,LOW RISK
1184,Research & Development,5343,1,No,LOW RISK
1185,Research & Development,2376,4,No,LOW RISK
1188,Sales,5346,3,No,MEDIUM RISK
1190,Sales,2827,1,No,LOW RISK
1191,Research & Development,19943,1,No,LOW RISK
1192,Research & Development,3131,4,No,LOW RISK
1193,Research & Development,2552,1,No,LOW RISK
1195,Research & Development,4477,3,Yes,MEDIUM RISK
1196,Research & Development,6474,4,No,LOW RISK
1198,Research & Development,3033,3,No,MEDIUM RISK
1200,Research & Development,2936,3,Yes,MEDIUM RISK
1201,Research & Development,18606,3,No,MEDIUM RISK
1202,Research & Development,2168,4,Yes,LOW RISK
1203,Research & Development,2853,4,Yes,LOW RISK
1204,Sales,17048,1,No,LOW RISK
1206,Research & Development,2290,3,No,MEDIUM RISK
1207,Human Resources,3600,3,No,MEDIUM RISK
1210,Research & Development,2107,1,No,LOW RISK
1211,Sales,4115,1,No,MEDIUM RISK
1212,Sales,4327,2,No,LOW RISK
1215,Research & Development,17856,1,No,LOW RISK
1216,Research & Development,3196,1,No,LOW RISK
1217,Research & Development,19081,2,No,LOW RISK
1218,Sales,8966,1,Yes,LOW RISK
1219,Research & Development,2210,2,No,LOW RISK
1220,Sales,4539,3,No,MEDIUM RISK
1221,Research & Development,2741,3,No,MEDIUM RISK
1224,Research & Development,3491,3,No,MEDIUM RISK
1225,Research & Development,4541,4,No,MEDIUM RISK
1226,Sales,2678,4,No,MEDIUM RISK
1228,Research & Development,7379,4,No,LOW RISK
1231,Human Resources,6272,1,No,LOW RISK
1233,Sales,5220,4,Yes,LOW RISK
1234,Research & Development,2743,2,No,LOW RISK
1235,Research & Development,4998,3,Yes,MEDIUM RISK
1237,Research & Development,10252,1,Yes,LOW RISK
1238,Research & Development,2781,4,No,LOW RISK
1239,Sales,6852,2,No,LOW RISK
1240,Sales,4950,4,No,LOW RISK
1241,Research & Development,3579,2,Yes,HIGH RISK
1242,Research & Development,13191,1,Yes,MEDIUM RISK
1243,Sales,10377,4,Yes,LOW RISK
1244,Research & Development,2235,1,Yes,HIGH RISK
1245,Research & Development,10502,3,No,MEDIUM RISK
1246,Research & Development,2011,4,No,LOW RISK
1248,Research & Development,1859,2,Yes,HIGH RISK
1249,Research & Development,3760,4,No,LOW RISK
1250,Research & Development,17779,4,No,LOW RISK
1251,Research & Development,6833,1,Yes,LOW RISK
1252,Research & Development,6812,1,No,MEDIUM RISK
1254,Sales,5171,4,No,LOW RISK
1255,Research & Development,19740,4,No,LOW RISK
1256,Research & Development,18711,3,No,MEDIUM RISK
1257,Research & Development,3692,2,No,LOW RISK
1258,Research & Development,2559,2,No,LOW RISK
1259,Research & Development,2517,3,No,MEDIUM RISK
1260,Research & Development,6623,4,Yes,LOW RISK
1263,Research & Development,18265,4,No,LOW RISK
1264,Research & Development,16124,4,No,LOW RISK
1265,Research & Development,2585,3,No,MEDIUM RISK
1267,Sales,18213,2,No,LOW RISK
1268,Sales,8380,3,Yes,MEDIUM RISK
1269,Research & Development,2994,4,Yes,MEDIUM RISK
1270,Research & Development,1223,3,No,MEDIUM RISK
1273,Sales,1118,4,Yes,MEDIUM RISK
1275,Research & Development,2875,4,Yes,LOW RISK
1277,Sales,18824,2,Yes,LOW RISK
1278,Research & Development,13577,2,Yes,LOW RISK
1279,Research & Development,2625,3,No,MEDIUM RISK
1280,Sales,18789,2,No,LOW RISK
1281,Sales,4538,1,Yes,HIGH RISK
1282,Sales,19847,2,Yes,LOW RISK
1283,Research & Development,10512,4,No,LOW RISK
1285,Research & Development,4444,2,No,LOW RISK
1286,Research & Development,2154,3,Yes,MEDIUM RISK
1288,Research & Development,19190,1,No,LOW RISK
1289,Human Resources,4490,2,No,LOW RISK
1291,Research & Development,3506,3,Yes,MEDIUM RISK
1292,Research & Development,2372,2,Yes,HIGH RISK
1293,Sales,10231,4,No,LOW RISK
1294,Research & Development,5410,2,Yes,LOW RISK
1295,Research & Development,7978,4,No,LOW RISK
1296,Research & Development,3867,4,Yes,LOW RISK
1297,Research & Development,2838,3,No,MEDIUM RISK
1298,Research & Development,4695,3,Yes,MEDIUM RISK
1299,Research & Development,3339,3,Yes,MEDIUM RISK
1301,Research & Development,2080,1,No,LOW RISK
1303,Research & Development,2096,2,No,LOW RISK
1304,Sales,6209,4,No,LOW RISK
1306,Research & Development,18061,2,No,MEDIUM RISK
1307,Research & Development,17123,2,Yes,LOW RISK
1308,Research & Development,2372,3,No,MEDIUM RISK
1309,Research & Development,4883,3,No,MEDIUM RISK
1310,Research & Development,3904,1,No,MEDIUM RISK
1311,Research & Development,4627,4,No,LOW RISK
1312,Research & Development,7094,3,No,MEDIUM RISK
1314,Human Resources,3423,1,No,LOW RISK
1315,Research & Development,6674,4,No,LOW RISK
1317,Research & Development,16880,1,Yes,MEDIUM RISK
1318,Sales,9094,2,Yes,MEDIUM RISK
1319,Sales,8446,2,Yes,LOW RISK
1321,Research & Development,11916,1,Yes,LOW RISK
1322,Research & Development,4534,3,No,MEDIUM RISK
1324,Sales,9852,3,Yes,MEDIUM RISK
1329,Sales,6151,2,No,LOW RISK
1331,Sales,2302,2,Yes,HIGH RISK
1333,Research & Development,2362,1,No,LOW RISK
1334,Research & Development,17861,3,Yes,MEDIUM RISK
1336,Research & Development,19187,3,No,MEDIUM RISK
1338,Human Resources,19717,2,No,LOW RISK
1340,Research & Development,3544,3,No,MEDIUM RISK
1344,Research & Development,8500,4,No,LOW RISK
1346,Research & Development,4661,4,No,LOW RISK
1349,Sales,4103,1,No,LOW RISK
1350,Research & Development,4249,3,Yes,MEDIUM RISK
1352,Human Resources,14026,2,Yes,LOW RISK
1355,Sales,6893,1,No,LOW RISK
1356,Sales,6125,1,No,LOW RISK
1358,Research & Development,3669,4,No,LOW RISK
1360,Research & Development,10008,1,Yes,LOW RISK
1361,Research & Development,2387,2,No,LOW RISK
1362,Sales,4639,1,No,LOW RISK
1363,Research & Development,7898,4,No,LOW RISK
1364,Sales,2534,4,No,LOW RISK
1367,Research & Development,13142,2,No,LOW RISK
1368,Research & Development,1611,4,No,LOW RISK
1369,Research & Development,5363,4,No,LOW RISK
1371,Sales,5071,4,No,LOW RISK
1372,Sales,13695,3,Yes,MEDIUM RISK
1373,Research & Development,13402,2,Yes,MEDIUM RISK
1374,Research & Development,2029,3,No,MEDIUM RISK
1375,Research & Development,6377,3,No,MEDIUM RISK
1377,Research & Development,5429,3,No,MEDIUM RISK
1379,Sales,2785,4,No,LOW RISK
1380,Sales,4614,3,Yes,MEDIUM RISK
1382,Research & Development,2610,3,No,MEDIUM RISK
1383,Research & Development,6687,4,No,LOW RISK
1387,Sales,4724,1,No,MEDIUM RISK
1389,Research & Development,6179,3,Yes,MEDIUM RISK
1390,Sales,6120,4,Yes,MEDIUM RISK
1391,Sales,10596,2,No,LOW RISK
1392,Research & Development,5467,4,Yes,MEDIUM RISK
1394,Research & Development,2996,3,Yes,MEDIUM RISK
1395,Sales,9998,4,No,LOW RISK
1396,Sales,4078,2,Yes,HIGH RISK
1397,Research & Development,10920,3,No,MEDIUM RISK
1399,Sales,6232,3,No,MEDIUM RISK
1401,Research & Development,13247,3,Yes,MEDIUM RISK
1402,Research & Development,4081,3,Yes,MEDIUM RISK
1403,Sales,5769,4,Yes,LOW RISK
1405,Research & Development,2394,3,Yes,MEDIUM RISK
1407,Research & Development,3904,4,No,LOW RISK
1408,Human Resources,16799,1,No,LOW RISK
1409,Research & Development,2950,1,No,LOW RISK
1411,Research & Development,3629,3,No,MEDIUM RISK
1412,Research & Development,9362,4,No,LOW RISK
1415,Research & Development,3229,4,No,LOW RISK
1417,Research & Development,3578,1,No,LOW RISK
1419,Human Resources,7988,1,No,LOW RISK
1420,Research & Development,4284,1,No,MEDIUM RISK
1421,Research & Development,7553,4,Yes,LOW RISK
1422,Research & Development,17328,4,No,LOW RISK
1423,Research & Development,19701,1,Yes,LOW RISK
1424,Research & Development,14732,4,No,LOW RISK
1425,Sales,9278,2,Yes,LOW RISK
1427,Sales,1359,3,No,MEDIUM RISK
1428,Sales,4779,1,No,LOW RISK
1430,Research & Development,16422,2,No,LOW RISK
1431,Research & Development,2996,1,No,LOW RISK
1433,Research & Development,1261,2,No,LOW RISK
1434,Research & Development,2099,1,No,LOW RISK
1435,Research & Development,5810,4,No,LOW RISK
1436,Sales,5647,1,No,LOW RISK
1438,Research & Development,3420,4,No,LOW RISK
1439,Sales,4400,1,No,LOW RISK
1440,Research & Development,3500,3,No,MEDIUM RISK
1441,Research & Development,2066,1,No,LOW RISK
1443,Research & Development,17169,3,No,MEDIUM RISK
1445,Sales,4162,3,Yes,MEDIUM RISK
1446,Sales,9204,4,No,LOW RISK
1447,Research & Development,3294,2,No,LOW RISK
1448,Research & Development,2127,3,Yes,MEDIUM RISK
1449,Research & Development,3975,3,No,MEDIUM RISK
1453,Sales,10793,4,No,LOW RISK
1457,Sales,10096,4,No,LOW RISK
1458,Research & Development,3646,1,Yes,HIGH RISK
1459,Research & Development,7446,2,No,LOW RISK
1460,Research & Development,10851,1,Yes,LOW RISK
1461,Human Resources,2109,2,No,LOW RISK
1464,Research & Development,3722,4,Yes,LOW RISK
1465,Research & Development,9380,4,Yes,MEDIUM RISK
1466,Sales,5486,1,No,LOW RISK
1467,Human Resources,2742,3,No,MEDIUM RISK
1468,Research & Development,13757,2,No,LOW RISK
1469,Sales,8463,1,No,LOW RISK
1471,Research & Development,3162,3,No,MEDIUM RISK
1472,Research & Development,16598,2,No,LOW RISK
1473,Research & Development,6651,3,No,MEDIUM RISK
1474,Research & Development,2345,3,No,MEDIUM RISK
1475,Research & Development,3420,2,No,LOW RISK
1477,Sales,4373,1,No,LOW RISK
1478,Sales,4759,1,No,LOW RISK
1479,Sales,5301,3,No,MEDIUM RISK
1480,Research & Development,3673,4,No,LOW RISK
1481,Sales,4768,3,No,MEDIUM RISK
1482,Research & Development,1274,3,No,MEDIUM RISK
1483,Research & Development,4900,3,No,MEDIUM RISK
1484,Research & Development,10466,2,No,LOW RISK
1485,Research & Development,17007,1,No,LOW RISK
1486,Sales,2909,3,No,MEDIUM RISK
1487,Sales,5765,2,No,LOW RISK
1489,Sales,4599,2,Yes,HIGH RISK
1492,Sales,2404,3,No,MEDIUM RISK
1494,Research & Development,3172,1,Yes,HIGH RISK
1495,Sales,2033,2,No,LOW RISK
1496,Research & Development,10209,3,Yes,MEDIUM RISK
1497,Sales,8620,3,No,MEDIUM RISK
1499,Human Resources,2064,3,No,MEDIUM RISK
1501,Research & Development,4035,3,Yes,MEDIUM RISK
1502,Research & Development,3838,2,No,LOW RISK
1503,Sales,4591,3,Yes,MEDIUM RISK
1504,Research & Development,2561,1,No,LOW RISK
1506,Research & Development,1563,3,No,MEDIUM RISK
1507,Sales,4898,1,No,LOW RISK
1509,Research & Development,4789,1,No,LOW RISK
1513,Research & Development,3180,2,No,LOW RISK
1514,Research & Development,6549,2,No,MEDIUM RISK
1515,Research & Development,6388,3,Yes,MEDIUM RISK
1516,Research & Development,11244,4,No,LOW RISK
1520,Research & Development,16032,4,No,LOW RISK
1522,Research & Development,2362,1,No,LOW RISK
1523,Research & Development,16328,1,No,MEDIUM RISK
1525,Research & Development,8376,2,No,LOW RISK
1527,Sales,16606,2,No,LOW RISK
1529,Research & Development,8606,2,No,LOW RISK
1533,Research & Development,2272,3,No,MEDIUM RISK
1534,Research & Development,2018,1,No,LOW RISK
1535,Sales,7083,3,Yes,MEDIUM RISK
1537,Research & Development,4084,3,No,MEDIUM RISK
1539,Research & Development,14411,4,Yes,MEDIUM RISK
1541,Sales,2308,3,Yes,MEDIUM RISK
1542,Research & Development,4841,2,No,LOW RISK
1543,Research & Development,4285,4,No,LOW RISK
1544,Research & Development,9715,1,No,LOW RISK
1545,Research & Development,4320,2,No,MEDIUM RISK
1546,Research & Development,2132,4,No,MEDIUM RISK
1547,Research & Development,10124,4,Yes,LOW RISK
1548,Sales,5473,1,No,LOW RISK
1549,Research & Development,5207,3,Yes,MEDIUM RISK
1550,Human Resources,16437,4,Yes,LOW RISK
1551,Research & Development,2296,1,No,MEDIUM RISK
1552,Research & Development,4069,4,Yes,LOW RISK
1553,Research & Development,7441,2,No,LOW RISK
1554,Sales,2430,3,No,MEDIUM RISK
1555,Research & Development,5878,2,No,LOW RISK
1556,Sales,2644,4,Yes,LOW RISK
1557,Sales,6439,3,No,MEDIUM RISK
1558,Research & Development,2451,3,No,MEDIUM RISK
1560,Sales,6392,1,No,LOW RISK
1562,Sales,9714,1,No,LOW RISK
1563,Human Resources,6077,3,No,MEDIUM RISK
1564,Research & Development,2450,1,No,LOW RISK
1568,Sales,9250,2,No,MEDIUM RISK
1569,Research & Development,2074,1,Yes,HIGH RISK
1572,Research & Development,10169,4,No,LOW RISK
1573,Research & Development,4855,2,No,LOW RISK
1574,Research & Development,4087,1,No,LOW RISK
1576,Research & Development,2367,1,No,LOW RISK
1577,Research & Development,2972,4,No,LOW RISK
1578,Sales,19586,4,No,MEDIUM RISK
1580,Research & Development,5484,4,No,LOW RISK
1581,Research & Development,2061,4,No,LOW RISK
1582,Sales,9924,2,No,LOW RISK
1583,Sales,4198,2,No,LOW RISK
1585,Sales,6815,3,No,MEDIUM RISK
1586,Research & Development,4723,1,Yes,HIGH RISK
1587,Research & Development,6142,3,Yes,MEDIUM RISK
1588,Sales,8237,3,No,MEDIUM RISK
1590,Research & Development,8853,4,No,LOW RISK
1591,Sales,19331,3,Yes,MEDIUM RISK
1592,Research & Development,2073,3,No,MEDIUM RISK
1594,Research & Development,5562,1,Yes,LOW RISK
1595,Research & Development,19613,4,No,LOW RISK
1596,Research & Development,3407,3,No,MEDIUM RISK
1597,Research & Development,5063,3,No,MEDIUM RISK
1598,Sales,4639,1,No,LOW RISK
1599,Research & Development,4876,2,No,MEDIUM RISK
1601,Research & Development,2690,4,No,LOW RISK
1602,Sales,17567,1,No,LOW RISK
1604,Research & Development,2408,2,Yes,HIGH RISK
1605,Research & Development,2814,3,Yes,MEDIUM RISK
1606,Research & Development,11245,3,Yes,MEDIUM RISK
1607,Research & Development,3312,4,No,LOW RISK
1608,Research & Development,19049,4,Yes,LOW RISK
1609,Research & Development,2141,2,No,LOW RISK
1611,Research & Development,5769,1,Yes,LOW RISK
1612,Sales,4385,1,No,MEDIUM RISK
1613,Sales,5332,1,No,LOW RISK
1614,Research & Development,4663,3,Yes,MEDIUM RISK
1615,Research & Development,4724,4,No,LOW RISK
1617,Research & Development,3211,1,No,MEDIUM RISK
1618,Research & Development,5377,1,No,LOW RISK
1619,Research & Development,4066,1,No,LOW RISK
1621,Research & Development,5208,1,No,LOW RISK
1622,Research & Development,4877,1,No,MEDIUM RISK
1623,Research & Development,3117,4,No,LOW RISK
1624,Sales,1569,4,Yes,LOW RISK
1625,Human Resources,19658,3,No,MEDIUM RISK
1627,Research & Development,3069,3,No,MEDIUM RISK
1628,Research & Development,10435,3,No,MEDIUM RISK
1630,Research & Development,4148,3,No,MEDIUM RISK
1631,Research & Development,5768,3,No,MEDIUM RISK
1633,Research & Development,5042,3,No,MEDIUM RISK
1635,Research & Development,5770,4,No,LOW RISK
1638,Research & Development,7756,3,Yes,MEDIUM RISK
1639,Sales,10306,1,No,LOW RISK
1640,Research & Development,3936,2,No,LOW RISK
1641,Research & Development,7945,4,Yes,LOW RISK
1642,Human Resources,5743,4,Yes,LOW RISK
1644,Research & Development,15202,4,No,LOW RISK
1645,Sales,5440,4,Yes,LOW RISK
1646,Research & Development,3760,4,Yes,LOW RISK
1647,Research & Development,3517,3,No,MEDIUM RISK
1648,Research & Development,2580,4,No,LOW RISK
1649,Research & Development,2166,1,Yes,HIGH RISK
1650,Sales,5869,3,No,MEDIUM RISK
1651,Research & Development,8008,1,No,LOW RISK
1653,Research & Development,5206,3,No,MEDIUM RISK
1654,Research & Development,5295,2,No,LOW RISK
1655,Research & Development,16413,2,No,MEDIUM RISK
1656,Research & Development,13269,1,No,LOW RISK
1657,Sales,2783,3,No,MEDIUM RISK
